TYPE ID Toffset_noisereduction
ED 453 10.388914
ED 454 8.419681
ED 455 -2.381613
ED 456 4.520540
ED 457 -4.300745
ED 458 -13.667980
ED 459 2.450515
ED 460 -5.140307
ED 461 17.280159
ED 462 -11.741218
ED 463 13.272294
ED 464 -11.888809
ED 465 5.086884
ED 466 -12.167800
ED 467 -1.482667
ED 468 19.955840
ED 469 12.876343
ED 470 8.235409
ED 471 -21.642330
ED 472 -0.587262
ED 473 17.708008
ED 474 8.162134
ED 475 -9.731109
ED 476 15.296349
ED 477 12.356313
ED 478 23.405779
ED 479 7.955307
ED 480 0.749044
ED 481 4.346949
ED 482 6.764906
ED 483 -7.477578
ED 484 -2.772970
ED 485 12.497212
ED 486 7.183448
ED 487 -0.309975
ED 488 -7.173969
ED 489 -3.522173
ED 490 -19.475245
ED 491 -2.938983
ED 492 6.244942
ED 493 9.228089
ED 494 -13.030529
ED 495 2.490786
ED 496 3.109329
ED 497 -9.840402
ED 498 0.596075
ED 499 4.291402
ED 500 5.229768
ED 501 0.897220
ED 502 4.994792
ED 503 -11.434842
ED 504 18.507057
ED 505 10.085626
ED 506 -5.419227
ED 507 -8.277156
ED 508 3.895838
ED 509 14.995627
ED 510 6.067108
ED 511 -2.613446
ED 512 -2.357357
ED 513 -2.421533
ED 514 10.393233
ED 515 -0.708738
ED 516 7.566878
ED 517 8.820491
ED 518 -13.022581
ED 519 5.188819
ED 520 3.196250
ED 521 0.959689
ED 522 11.499463
ED 523 -7.029168
ED 524 -15.367159
ED 525 12.097158
ED 526 10.685385
ED 527 6.243180
ED 528 -16.161569
ED 529 -4.124608
ED 530 -1.335161
ED 531 -10.901683
ED 532 -5.067270
ED 533 5.526963
ED 534 5.539746
ED 535 -10.245173
ED 536 2.281147
ED 537 -0.965674
ED 538 7.903897
ED 539 -12.213382
ED 540 -0.256125
ED 541 -3.274294
ED 542 -8.801753
ED 543 -2.253372
ED 544 6.702527
ED 545 -11.719188
ED 546 -0.825491
ED 547 -0.966412
ED 548 -5.609766
ED 549 -4.473042
ED 550 11.872303
ED 551 -10.368050
ED 552 6.182154
ED 553 3.332778
ED 554 4.865272
ED 555 -18.980186
ED 556 5.582271
ED 557 3.550139
ED 558 -11.233734
ED 559 -10.404608
ED 560 -6.320791
ED 561 4.437034
ED 562 -1.374193
ED 563 8.207029
ED 564 -11.024585
ED 565 -13.583826
ED 566 11.308560
ED 567 3.539841
ED 568 -4.721402
ED 569 -0.390052
ED 570 1.876204
ED 571 13.300878
ED 572 12.480483
ED 573 13.837343
ED 574 -11.984170
ED 575 -10.434732
ED 576 -18.738439
ED 577 2.297064
ED 578 12.403699
ED 579 14.737815
ED 580 3.759028
ED 581 7.192534
ED 582 2.095495
ED 583 10.040654
ED 584 -1.849748
ED 585 6.790992
ED 586 3.889870
ED 587 16.313509
ED 588 -4.177383
ED 589 -6.042069
ED 590 4.743406
ED 591 -13.887390
ED 592 2.740733
ED 593 -18.368333
ED 594 8.809852
ED 595 -4.869463
ED 596 -5.025643
ED 597 -7.089244
ED 598 -6.618436
ED 599 2.958604
ED 600 13.321918
ED 601 -0.242759
ED 602 12.110832
ED 603 4.021696
ED 604 6.048897
ED 605 1.679398
ED 606 -14.462533
ED 607 -2.818961
ED 608 -7.452603
ED 609 -5.967830
ED 610 -5.974833
ED 611 -4.423008
ED 612 11.267050
ED 613 -3.934356
ED 614 -15.580199
ED 615 9.404358
ED 616 8.782724
ED 617 -1.273287
ED 618 -1.170045
ED 619 3.620289
ED 620 2.311452
ED 621 8.443097
ED 622 2.457796
ED 623 3.441550
ED 624 -14.176404
ED 625 15.230102
ED 626 3.516886
ED 627 -0.030684
ED 628 -12.511068
ED 629 -14.153901
ED 630 12.489162
ED 631 -14.548507
ED 632 -5.753764
ED 633 -8.902012
ED 634 -2.200697
ED 635 -4.291848
ED 636 3.467630
ED 637 -4.640685
ED 638 9.247413
ED 639 18.729464
ED 640 10.111538
ED 641 11.848598
ED 642 7.159222
ED 643 -10.959123
ED 644 -10.865345
ED 645 1.908260
ED 646 1.894517
ED 647 2.583571
ED 648 4.849608
ED 649 -14.053297
ED 650 10.411328
ED 651 -5.234632
ED 652 11.731384
ED 653 10.882164
ED 654 -10.556987
ED 655 5.176692
ED 656 -1.656435
ED 657 1.127549
ED 658 5.872914
ED 659 -6.290200
ED 660 4.739640
ED 661 5.843770
ED 662 4.656842
ED 663 10.754294
ED 664 -7.476761
ED 665 5.924505
ED 666 -9.091211
ED 667 1.502290
ED 668 3.287319
ED 669 -18.066265
ED 670 -2.507846
ED 671 4.046752
ED 672 10.411720
ED 673 9.158433
ED 674 -5.763263
ED 675 -8.897171
ED 676 -1.467893
ED 677 -11.240803
ED 678 9.588147
ED 679 0.652488
ED 680 -8.936267
ED 681 10.331300
ED 682 0.167889
ED 683 -1.336079
ED 684 -0.137331
ED 685 -1.365858
ED 686 -9.396369
ED 687 -4.849306
ED 688 3.945706
ED 689 -8.986869
ED 690 8.450143
ED 691 5.018796
ED 692 5.852350
ED 693 13.458899
ED 694 3.016087
ED 695 15.950774
ED 696 -4.523530
ED 697 10.559614
ED 698 -10.380754
ED 699 -6.599633
ED 700 -4.461056
ED 701 -10.009603
ED 702 -4.017128
ED 703 -4.288417
ED 704 4.028570
ED 705 -13.277262
ED 706 -5.607922
ED 707 -4.488483
ED 708 5.011454
ED 709 8.550518
ED 710 4.483924
ED 711 11.803655
ED 712 7.388784
ED 713 17.349878
ED 714 -6.169833
ED 715 -1.787824
ED 716 -16.765291
ED 717 6.758388
ED 718 -6.357175
ED 719 8.915821
ED 720 12.527661
ED 721 -7.050770
ED 722 2.044069
ED 723 -8.042696
ED 724 -3.353590
ED 725 2.438337
ED 726 -4.438282
ED 727 4.605918
ED 728 -4.291434
ED 729 11.935347
ED 730 22.491014
ED 731 16.584859
ED 732 -2.795475
ED 733 -0.245729
ED 734 0.825589
ED 735 4.007807
ED 736 -1.671575
ED 737 5.243910
ED 738 -7.684762
ED 739 -1.175132
ED 740 -11.515775
ED 741 6.968520
ED 742 -1.612443
ED 743 10.800274
ED 744 -10.893638
ED 745 -1.900757
ED 746 -14.598190
ED 747 -0.353305
ED 748 -7.351970
ED 749 -12.311788
ED 750 -2.664407
ED 751 8.495672
ED 752 -4.881066
ED 753 8.483616
ED 754 -19.419349
ED 755 -9.137772
ED 756 -3.098526
ED 757 -4.319380
ED 758 -2.533114
ED 759 18.934427
ED 760 -5.341503
ED 761 8.527229
ED 762 -18.857172
ED 763 4.042045
ED 764 1.745431
ED 765 0.424199
ED 766 -11.642582
ED 767 -19.887233
ED 768 -12.738097
ED 769 7.546744
ED 770 5.432158
ED 771 13.962019
